No,Province,Name of landfill,Management Unit,Location,Area (ha),Capacity (tons/day),Actual Capacity (tons/day),Waste processing techniques,Scope of service,Note,detected,latitude,longitude,no_dump,uncertain
1,Ha Tinh,Nhà máy chế biến phân hữu cơ từ rác thải sinh hoạt ,Công ty CP môi trường và quản lý đô thị Hà Tĩnh ,"Xã Cẩm Quan, huyện Cẩm Xuyên, tỉnh Hà Tĩnh",3.6,  200 ,130,"Dây chuyền công nghệ  xử lý của Bỉ có cải tiến, bao gồm: dây chuyền tách lọc trước ủ, dây chuyền sản xuất phân hữu cơ, tách lọc sau ủ, dây chuyền lò đốt.",Thành phố Hà Tĩnh và huyện Cẩm Xuyên,QĐ số 2585/QĐ-UBND ngày 05/8/2011; QĐ số 4174/QĐ-UBND ngày 30/10/2015,,18.22222222222222,105.99527777777777,,
2,Ha Tinh,Nhà máy chế biến rác thải sinh hoạt Hoành Sơn ,Công ty TNHH MTV chế biến rác thải sinh hoạt Hoành Sơn,"Thôn Nam Xuân Sơn, xã Kỳ Tân, huyện Kỳ Anh",15,  240 ,80,"Chế biến phân vi sinh, lò đốt chất thải sinh hoạt","Công ty Formosa, Thị xã Kỳ Anh, 12/21 xã thuộc huyện Kỳ Anh",QĐ số 2626/QĐ-UBND ngày 12/9/2014 của UBND tỉnh,false,18.05611111111111,106.29916666666666,true,false
3,Ha Tinh,Nhà máy xử lý rác thải Can Lộc,Công ty TNHH thương mại và xử lý môi trường Can Lộc,"Khối Bắc Sơn, thị trấn Nghèn, huyện Can Lộc",6.4,  40 ,40,Chôn lấp hợp vệ sinh và chế biến phân vi sinh,Huyện Can Lộc,QĐ số 432/QĐ-UBND ngày 07/2/2017 của UBND tỉnh,,18.455555555555556,105.79194444444444,,
4,Ha Tinh,Bãi chôn lấp CTR sinh hoạt thị xã Hồng Lĩnh,Công ty CP môi trường đô thị Hồng Lĩnh,"Phường Nam Hồng, thị xã Hồng Lĩnh",4.2,36,28.7,Chôn lấp hợp vệ sinh,Thị xã Hồng Lĩnh,QĐ số 1616/QĐ-UBND ngày 06/6/2012 ,true,18.511666666666667,105.70527777777778,false,false
5,Ha Tinh,Bãi chôn lấp CTR huyện Lộc Hà,UBND huyện Lộc Hà,Xã Hồng Lộc,4.9,54.85,23.7,Chôn lấp hợp vệ sinh,Huyện Lộc Hà,QĐ số 3584/QĐ-UBND ngày 11/11/2011 ,true,18.503888888888888,105.82,false,false
6,Ha Tinh,Bãi chôn lấp CTR thị trấn Vũ Quang,UBND thị trấn Vũ Quang,Thị trấn Vũ Quang,0.7,2,1.5,Chôn lấp hợp vệ sinh,"Thị trấn Vũ Quang, một số thôn của xã Sơn Thọ",,false,18.400277777777777,105.52194444444444,true,false
7,Ha Tinh,"Bãi chôn lấp CTR sinh hoạt tại khối phố 6, thị trấn Tây Sơn",Ban quản lý Khu KT cửa khẩu Cầu Treo,"Khối phố 6, thị trấn Tây Sơn, huyện hương Sơn",2.1,10,10, Bãi chôn lấp hợp vệ sinh;,"4 xã trong khu kinh tế (Tây Sơn, Sơn Tây, Sơn Kim 1, Sơn Kim 2)",Đến năm 2020 sức chứa còn lại khoảng 200.000m3,true,18.461111111111112,105.29277777777777,false,false
8,Ha Tinh,Lò đốt rác thải Cương Gián,HTX dịch vụ môi trường Tân Phát ,"Thôn Nam Sơn,  xã Cương Gián, huyện Nghi Xuân",2.1,16.8,11.2,Lò đốt rác thải sinh hoạt Loshiho sản xuất trong nước (Nam Định),7 xã của huyện Nghi Xuân,Quyết định số 1383/QĐ-UBND ngày 02/6/2016 của UBND tỉnh,false,18.560555555555556,105.8325,true,false
9,Ha Tinh,Lò đốt rác thải sinh hoạt Xuân Thành,Công ty TNHH dịch vụ môi trường Nghi Xuân ,"Xã Xuân Thành, huyện Nghi Xuân",1.2,24,16,Lò đốt  rác thải sinh hoạt Sankyo GF-1500,"12 xã, thị trấn của huyện Nghi Xuân",Quyết định số 66/QĐ-UBND ngày 07/01/2014 của UBND tỉnh,true,18.61888888888889,105.79388888888889,false,false
10,Ha Tinh,Lò đốt rác thải sinh hoạt Phù Việt,HTX Môi trường xã Phù Việt,"Xã Phù Việt, huyện Thạch Hà",0.87,7.2,5,Lò đốt không sử dụng nhiêu liệu- công nghệ sản xuất trong nước (Công ty Tràng An Xanh),"05 xã huyện Thạch Hà: xã Phù Việt, Thạch Kênh, Thạch Liên, Thạch Long và Thạch Thanh.",QĐ số 11328/QĐ-UBND ngày 21/12/2016 của UBND huyện Thạch Hà,,18.395833333333332,105.81638888888888,,
