Waste Sites Detected in Study Provinces,,,,,,,,,,,,,,,,,,,,,,,
ID,Number,Latitude,Longitude,High Risk,Risk Score,Area (m^2),Soil Clay Fraction,Elevation,Drainage Direction,Upstream Drainage Area (km^2),Height Above Nearest Drainage (m),Landform Type,Soil Sand Fraction,Slope (degrees),"Fine Earth Density 
(kg / m^3)",Soil Great Group,Distance to Waterway (m),Nearest Water Type,Population (1 km),Population (5 km),Population (10 km),Wind Speed (m/s),Place Name
8f4141951249875,8,18.852,105.641,,0.36,1785,0.25,14,southeast,0.92314,0,Lower slope (warm),0.49,1,116,1,1073,river,791,"25,433","123,157",2.27,"Nghi Lộc District, Nghệ An Province, Vietnam"
8f41422140ce59c,10,20.744,106.627,Yes,0.28,2810,0.25,3,north,0.00800,1,Lower slope (flat),0.43,1,121,0,3366,river,"3,034","75,529","352,989",2.98,"Xã Du Lễ, Huyện Kiến Thụy, Haiphong, Vietnam"
8f414221c83508a,11,20.741,106.570,,0.19,612,0.27,2,northeast,2.97761,0,Upper slope (flat),0.38,0,112,0,560,river,"3,319","69,042","339,120",3.15,"Tiên Lãng, Haiphong, Thị trấn Tiên Lãng, Vietnam"
8f41422a85b5172,12,20.821,106.597,Yes,0.10,67,-1.00,2,northeast,0.36000,0,Lower slope (flat),-1.00,0,-1,-1,139,river,"5,499","133,603","700,778",3.06,"Văn Tràng 1, Trường Sơn, Haiphong, Xã Trường Sơn, 35999, Vietnam"
8f41423aaa32171,13,20.708,106.707,,0.34,711,0.26,3,northeast,0.00801,1,Lower slope (flat),0.37,0,115,0,1772,river,"2,510","58,956","216,158",3.25,"Xã Đại Hợp, Huyện Kiến Thụy, Haiphong, Vietnam"
8f414276d9ae353,14,20.815,106.754,Yes,0.33,6143,0.27,4,northwest,0.00800,0,Upper slope (flat),0.42,0,110,1,520,river,"2,239","74,870","595,672",3.34,"Quận Hải An, Haiphong, Vietnam"
8f4145229999c4b,40,18.504,105.820,,0.30,1832,0.26,18,northwest,0.02434,2,Lower slope (warm),0.40,3,140,1,377,dam,543,"21,556","111,275",2.80,"Lộc Hà District, Ha Tinh Province, Vietnam"
8f414524556d899,41,18.511,105.705,,0.25,1624,0.27,6,south,0.00811,0,Valley,0.40,1,120,0,1000,river,"1,485","41,460","127,425",2.51,"Hong Linh town, Hồng Lĩnh, Ha Tinh Province, 483700, Vietnam"
8f414525a435730,42,18.617,105.696,,,0,0.28,5,southwest,0.00811,4,Lower slope (flat),0.39,0,123,0,744,river,"1,359","65,732","371,300",2.81,"Petrolimex, Quốc lộ 1, Xuân An, Nghi Xuân District, Ha Tinh Province, 038, Vietnam"
8f41452e464135e,43,18.619,105.794,,0.27,1476,0.23,7,south,0.00811,1,Lower slope (flat),0.44,0,124,1,1544,river,876,"18,512","74,489",2.94,"Linh Trụng, Nghi Xuân District, Ha Tinh Province, 45506, Vietnam"
8f4145360791a21,44,18.362,105.852,,0.26,4874,0.26,5,southeast,0.06497,1,Lower slope (flat),0.43,1,124,0,1485,water,"2,287","57,999","170,786",2.49,"Thach Ha, Thạch Hà District, Ha Tinh Province, Vietnam"
8f4151850b2a0d8,47,21.322,107.429,,,0,0.29,39,southwest,0.00797,50,Upper slope (warm),0.40,9,121,0,456,water,908,"15,839","32,967",2.43,"Tiên Yên District, Quang Ninh Province, Vietnam"
8f415c80648b89c,53,21.118,106.419,Yes,,0,0.26,2,east,23.18360,0,Lower slope (flat),0.44,1,124,48,786,river,"2,811","67,777","159,766",3.48,"Chí Linh, Hải Dương Province, Vietnam"
8f415c80abadc4b,54,21.126,106.330,Yes,0.21,717,0.31,63,west,0.00798,7,Upper slope (warm),0.40,6,116,1,186,water,"1,588","43,830","182,088",3.85,"Chí Linh, Hải Dương Province, Vietnam"
8f415c95ac73742,55,21.028,106.328,,0.40,3011,0.22,4,north,0.02397,1,Lower slope (flat),0.45,0,118,1,150,ditch,"1,506","55,212","298,038",3.19,"Nam Sách District, Hải Dương Province, Vietnam"
8f415c976836130,56,20.940,106.435,,0.34,1951,0.28,5,north,0.02398,0,Lower slope (flat),0.42,1,129,0,1720,river,"3,587","67,533","290,867",2.74,"Kim Can, Thanh Hà District, Hải Dương Province, Vietnam"
8f4160a28b06865,65,16.398,107.637,,0.25,1013,0.31,26,northeast,0.00821,9,Upper slope (warm),0.43,4,126,1,243,stream,"1,318","34,568","267,186",2.25,"Hương Thủy, Thừa Thiên Huế Province, 530000, Vietnam"
8f4161403cc021a,67,16.932,107.044,Yes,,0,0.29,17,north,0.00818,7,Lower slope (warm),0.43,4,132,0,198,stream,884,"20,769","61,623",3.33,"An Xã, Gio Linh District, Quang Tri province, Vietnam"
8f4161429110913,68,16.858,106.996,,0.36,2215,0.26,57,southwest,0.00819,32,Upper slope (warm),0.47,3,125,1,1378,lake,294,"10,285","55,357",3.89,"Gio Linh District, Quang Tri province, Vietnam"
8f416150935b336,69,16.794,107.071,,0.36,737,0.29,34,west,0.04095,9,Lower slope (warm),0.40,1,129,1,1145,river,"1,653","63,361","125,048",3.37,"Dong Ha City, Quang Tri province, Vietnam"
8f4161c8c021cac,70,16.658,107.237,,0.16,164,0.30,26,northeast,0.00820,15,Upper slope (warm),0.42,1,116,2,1775,water,208,"15,359","54,826",2.63,"Tân Phước, Hải Lăng District, Quang Tri province, Vietnam"
8f4161d8b58b95c,71,16.580,107.326,,0.10,855,0.32,28,northwest,0.00820,11,Lower slope (warm),0.37,2,117,0,424,reservoir,210,"9,146","35,426",2.12,"Phong Điền District, Thừa Thiên Huế Province, Vietnam"
8f41642ed8258f4,72,16.041,108.142,,0.05,6,0.29,35,north,0.03289,7,Lower slope (warm),0.41,10,124,0,1159,pond,"4,237","187,406","730,542",1.31,"Hoàng Văn Thái, Liên Chiểu, Da Nang, 556264, Vietnam"
8f4164356625296,73,15.905,108.303,,0.38,1532,0.27,10,west,0.00823,1,Upper slope (flat),0.44,1,149,0,1696,ditch,"3,647","96,686","254,527",2.85,"Cẩm Hà, Hội An, Quang Nam Province, 560000, Vietnam"
8f41656ccd736a5,74,16.222,107.261,Yes,0.40,4137,0.31,561,southeast,0.01643,4,Upper slope (warm),0.41,4,118,1,259,canal,419,"8,418","19,248",2.98,"Phú Vinh, A Lưới District, Thừa Thiên Huế Province, Vietnam"
8f4165885b45518,75,15.435,107.807,,,0,0.33,362,southwest,0.00825,18,Upper slope (warm),0.35,6,122,0,165,ditch,185,"3,621","8,624",2.06,"Khâm Đức, Phước Sơn District, Quang Nam Province, Vietnam"
8f4165c108de1ab,76,15.701,108.072,,0.25,3791,0.29,27,southwest,0.00823,16,Lower slope (warm),0.37,1,118,0,517,stream,436,"10,043","25,864",1.62,"Nông Sơn District, Quang Nam Province, Vietnam"
8f416ad30105974,77,18.089,105.793,,0.38,4208,0.27,46,northeast,0.00813,24,Lower slope (warm),0.44,3,116,3,180,water,276,"4,993","19,453",2.82,"Ho Chi Minh Highway, Cầy Trạo, Hương Khê District, Ha Tinh Province, Vietnam"
8f416e406223803,78,17.773,106.258,,0.40,2106,0.28,64,southeast,0.00815,69,Upper slope (warm),0.45,25,125,1,967,river,329,"13,395","40,123",3.04,"Tuyên Hóa District, Quang Binh province, 0084, Vietnam"
