,Distance to Waterway (m),Drainage Direction,Elevation,Fine Earth Density (kg / m^3),Height Above Nearest Drainage (m),Landform Type,Nearest Water Type,Population - 1 km,Population - 10 km,Population - 5 km,Slope (degrees),Soil Clay Fraction,Soil Great Group,Soil Sand Fraction,Upstream Drainage Area (km^2),Wind Speed (m/s),area,area (km^2),country,id,place_name,risk,area (ha),geometry,number
112,877.4438149057241,northwest,67.0,126.0,19.10000228881836,Upper slope (warm),river,762.0,97040.0,24220.0,3.0724657181518427,0.26,0.0,0.43,0.008078260347247124,2.5005295276641846,1515.0742535555853,0.0015150742535555853,Vietnam,8f4141158152699,"Thái Hòa, Nghệ An Province, Vietnam",0.2755064002717772,0.15150742535555853,POINT (105.4290220715912 19.25971023857507),1
136,2151.707672716411,southwest,61.0,129.0,13.400001525878906,Lower slope (warm),pond,337.0,69370.0,11206.0,1.9891664896098482,0.26,2.0,0.49,0.008074815385043621,2.205059051513672,513.5048354486637,0.0005135048354486637,Vietnam,8f41411ac7414c3,"Hoàng Mai, Quỳnh Lưu District, Nghệ An Province, Vietnam",0.14063451860918189,0.05135048354486637,POINT (105.646327371265 19.33051434732229),2
145,431.86295283894594,south,93.0,127.0,13.0,Lower slope (warm),river,1926.0,51586.0,20249.0,9.888456628560238,0.31,6.0,0.34,0.008075030520558357,1.9599740505218506,696.8023775509433,0.0006968023775509434,Vietnam,8f414131560db1d,"Quốc lộ 48C, Quỳ Hợp, Quỳ Hợp District, Nghệ An Province, Vietnam",0.2949530087160815,0.06968023775509434,POINT (105.1959600259008 19.32695518904922),3
56,669.6298805907637,northwest,10.0,129.0,1.700000286102295,Lower slope (warm),river,1302.0,141415.0,37459.0,3.76220138362143,0.22,1.0,0.55,0.008058827370405197,3.22477126121521,10472.81621560166,0.010472816215601661,Vietnam,8f4141471088620,"Nông Cống, Thanh Hoa province, Vietnam",0.40738783731120326,1.0472816215601661,POINT (105.6454023130151 19.65724599541215),4
195,325.41601196901684,southwest,7.0,123.0,0.0,Valley,river,1748.0,251221.0,59488.0,1.8831608919544056,0.26,2.0,0.44,0.515494167804718,3.0744776725769043,5397.0686559196365,0.005397068655919637,Vietnam,8f41414e4ab164d,"Đông Sơn, Thanh Hoa province, Vietnam",0.4258345318192683,0.5397068655919637,POINT (105.6944089219399 19.74232264379203),5
162,255.2196933857898,west,5.0,120.0,0.0,Lower slope (flat),river,2169.0,100680.0,35349.0,0.0,0.23,1.0,0.45,0.024186931550502777,3.450580596923828,531.1453561219051,0.0005311453561219051,Vietnam,8f41415569348a0,"Phường Hải Châu, Nghi Sơn, Thanh Hoa province, Vietnam",0.35549049107881275,0.05311453561219051,POINT (105.7927206534927 19.58728846711349),6
75,1183.7577344501167,southwest,3.0,125.0,2.1000001430511475,Lower slope (flat),Sông_Đơ,6464.0,193501.0,79294.0,0.45108129781701295,0.28,1.0,0.36,0.008054334670305252,3.2375574111938477,3488.585376582435,0.003488585376582435,Vietnam,8f414158e2816e1,"Đường Trần Hưng Đạo, Sầm Sơn, Thanh Hoa province, Vietnam",0.3167070845716684,0.34885853765824354,POINT (105.8904255809241 19.74832719453888),7
164,1073.065856548006,southeast,14.0,116.0,0.0,Lower slope (warm),river,791.0,123157.0,25433.0,0.9799700876570968,0.25,1.0,0.49,0.9231408834457397,2.2672410011291504,6143.472012992651,0.006143472012992651,Vietnam,8f4141951249875,"Nghi Lộc District, Nghệ An Province, Vietnam",0.3262281221135208,0.6143472012992651,POINT (105.6409893555798 18.85184194268827),8
68,1584.4319683698084,north,54.0,121.0,1.2000007629394531,Valley,river,463.0,60193.0,16500.0,1.3500879828842254,0.31,1.0,0.4,0.02426079660654068,2.5816266536712646,1774.6133145534022,0.0017746133145534022,Vietnam,8f4141a13150409,"Tân Lập, Tân Kỳ District, Nghệ An Province, Vietnam",0.20830571825578525,0.1774613314553402,POINT (105.2597075307472 19.08107541683938),9
94,3365.696279810676,north,3.0,121.0,0.8000000715255737,Lower slope (flat),river,3034.0,352989.0,75529.0,0.7298604737693241,0.25,0.0,0.43,0.008003831841051579,2.9772229194641113,0.0,0.0,Vietnam,8f41422140ce59c,"Xã Ngũ Phúc, Huyện Kiến Thụy, Haiphong, Vietnam",,0.0,POINT (106.6268369341351 20.74351949304978),10
158,559.7076190980034,northeast,2.0,112.0,0.0,Upper slope (flat),river,3319.0,339120.0,69042.0,0.45261657818174583,0.27,0.0,0.38,2.9776058197021484,3.1484580039978027,1951.2139665411037,0.0019512139665411037,Vietnam,8f414221c83508a,"Tiên Lãng District, Haiphong, Vietnam",0.3438085054187543,0.19512139665411038,POINT (106.5702569341589 20.74052346596708),11
92,138.61984288220873,northeast,2.0,-1.0,0.0,Lower slope (flat),river,5499.0,700778.0,133603.0,0.4527458892129923,-1.0,-1.0,-1.0,0.3599983751773834,3.0588223934173584,133.50146543929412,0.00013350146543929413,Vietnam,8f41422a85b5172,"Văn Tràng 1, Huyện An Lão, Haiphong, 35999, Vietnam",0.8017503101987521,0.013350146543929412,POINT (106.5969099126448 20.82091737213056),12
37,380.9865407846555,northeast,3.0,115.0,1.399999976158142,Lower slope (flat),ditch,2510.0,216158.0,58956.0,0.45256477061085654,0.26,0.0,0.37,0.008005641400814056,3.246694564819336,463.04434722683436,0.0004630443472268344,Vietnam,8f41423aaa32171,"Xã Đại Hợp, Huyện Kiến Thụy, Haiphong, Vietnam",0.30911600473286677,0.04630443472268344,POINT (106.7070961712786 20.70820336961993),13
77,519.6049528067086,northwest,4.0,110.0,0.40000009536743164,Upper slope (flat),river,2239.0,595672.0,74870.0,0.4527351997256526,0.27,1.0,0.42,0.008000084199011326,3.3353590965270996,386.44589946333036,0.0003864458994633304,Vietnam,8f414276d9ae353,"Phường Tràng Cát, Quận Hải An, Haiphong, Vietnam",0.270659281796324,0.03864458994633304,POINT (106.7536456833453 20.81486335076332),14
100,1244.0164344625528,southeast,3.0,124.0,0.20000016689300537,Lower slope (flat),coastline,2387.0,147241.0,38447.0,0.7282993375604245,0.25,1.0,0.42,0.008024376817047596,3.56330943107605,292.3741035492007,0.0002923741035492007,Vietnam,8f4142a580b6ad1,"Tiền Hải District, Thai Binh province, Vietnam",0.19589419324672222,0.02923741035492007,POINT (106.5680248611884 20.34418452710185),15
